Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	42736.49	0.00	-69924.05
0.10	36522.46	0.00	-76444.76
0.20	29249.04	0.00	-82366.17
0.30	20963.43	0.00	-87524.33
0.40	11742.35	0.00	-91760.51
0.50	1692.00	0.00	-94926.72
0.60	-9053.13	0.00	-96890.93
0.70	-20332.55	0.00	-97541.85
0.80	-31963.11	0.00	-96792.89
0.90	-43743.21	0.00	-94585.35
1.00	-55457.67	0.00	-90890.63
1.10	-66883.15	0.00	-85711.45
1.20	-77793.75	0.00	-79082.10
1.30	-87966.81	0.00	-71067.81
1.40	-97188.40	0.00	-61763.38
1.50	-105258.71	0.00	-51291.05
1.60	-111996.86	0.00	-39797.95
1.70	-117245.24	0.00	-27453.15
1.80	-120873.28	0.00	-14444.41
1.90	-122780.44	0.00	-974.81
2.00	-122984.03	0.00	12740.79
2.10	-121556.23	0.00	26479.28
2.20	-118487.66	0.00	40012.97
2.30	-113793.86	0.00	53113.24
2.40	-107516.51	0.00	65554.36
2.50	-99724.10	0.00	77117.40
2.60	-90512.66	0.00	87594.24
2.70	-80006.00	0.00	96791.77
2.80	-68355.70	0.00	104536.07
2.90	-55740.39	0.00	110676.71
3.00	-42364.28	0.00	115090.89
3.10	-28454.77	0.00	117687.38
3.20	-14258.96	0.00	118410.04
3.30	-39.19	0.00	117240.77
3.40	13932.67	0.00	114201.66
3.50	27381.75	0.00	109356.21
3.60	40037.60	0.00	102809.39
3.70	51642.12	0.00	94706.48
3.80	61957.65	0.00	85230.56
3.90	70774.93	0.00	74598.75
4.00	77920.44	0.00	63057.06
4.10	83262.83	0.00	50874.19
4.20	86717.88	0.00	38334.33
4.30	88251.94	0.00	25729.26
4.40	87883.42	0.00	13350.02
4.50	85682.33	0.00	1478.51
4.60	81767.85	0.00	-9620.71
4.70	76304.00	0.00	-19707.95
4.80	69493.70	0.00	-28575.18
4.90	61571.48	0.00	-36051.57
5.00	52800.30	0.00	-42007.68
5.10	43474.68	0.00	-46358.22
5.20	33860.66	0.00	-49063.20
5.30	24218.83	0.00	-50127.57
5.40	14802.61	0.00	-49599.30
5.50	5851.46	0.00	-47566.31
5.60	-2415.20	0.00	-44152.09
5.70	-9803.22	0.00	-39510.60
5.80	-16147.92	0.00	-33820.49
5.90	-21317.11	0.00	-27278.99
