OC3 Tripod submerged nodes summary
==========================================================================================
Wave direction: +X (0 deg)
Water depth: 45.0 m
Total submerged nodes: 152
==========================================================================================
  NodeID       X(m)       Y(m)       Z(m)   D_avg(m)     Area(m2)      Vol(m3)
------------------------------------------------------------------------------------------
       1    -24.802      0.000    -45.000      3.150         6.37        15.75
       2     12.401     21.480    -45.000      3.150         6.37        15.75
       3     12.401    -21.480    -45.000      3.150         6.37        15.75
       4    -24.802      0.000    -42.979      2.015        18.59        36.13
       5     12.401     21.480    -42.979      2.015        18.59        36.13
       6     12.401    -21.480    -42.979      2.015        18.59        36.13
       7    -24.802      0.000    -41.143      2.617        16.51        35.91
       8     12.401     21.480    -41.143      2.617        16.51        35.91
       9     12.401    -21.480    -41.143      2.617        16.51        35.91
      10    -24.802      0.000    -39.306      2.884        21.22        48.69
      11     12.401     21.480    -39.306      2.884        21.22        48.69
      12     12.401    -21.480    -39.306      2.884        21.22        48.69
      13     -6.201     10.740    -42.979      1.200         6.44         6.07
      14     12.401      0.000    -42.979      1.200         6.44         6.07
      15     -6.201    -10.740    -42.979      1.200         6.44         6.07
      16    -12.401      0.000    -36.665      1.875         9.89        14.56
      17      6.201     10.740    -36.665      1.875         9.89        14.56
      18      6.201    -10.740    -36.665      1.875         9.89        14.56
      19    -12.402      0.000    -19.654      2.475        14.25        27.70
      20      6.201     10.740    -19.654      2.475        14.25        27.70
      21      6.201    -10.740    -19.654      2.475        14.25        27.70
      22    -24.802      0.000    -34.071      3.150         8.25        20.40
      23     12.401     21.480    -34.071      3.150         8.25        20.40
      24     12.401    -21.480    -34.071      3.150         8.25        20.40
      25      0.000      0.000    -34.713      3.142         7.93        19.58
      26     -6.310      0.000    -10.000      2.475        12.92        25.11
      27      3.155      5.465    -10.000      2.475        12.92        25.11
      28      3.155     -5.465    -10.000      2.475        12.92        25.11
      29     -5.048      0.000     -8.000      2.475        11.71        22.76
      30      2.524      4.372     -8.000      2.475        11.71        22.76
      31      2.524     -4.372     -8.000      2.475        11.71        22.76
      32     -3.786      0.000     -6.000      2.475        11.71        22.76
      33      1.893      3.279     -6.000      2.475        11.71        22.76
      34      1.893     -3.279     -6.000      2.475        11.71        22.76
      35     -2.524      0.000     -4.000      2.475        11.71        22.76
      36      1.262      2.186     -4.000      2.475        11.71        22.76
      37      1.262     -2.186     -4.000      2.475        11.71        22.76
      38     -1.262      0.000     -2.000      2.475        11.71        22.76
      39      0.631      1.093     -2.000      2.475        11.71        22.76
      40      0.631     -1.093     -2.000      2.475        11.71        22.76
      41      0.000      0.000    -32.188      2.437        32.20        66.60
      42      0.000      0.000    -10.000      5.533        26.41       114.85
      43      0.000      0.000     -8.000      5.700        22.80       102.07
      44      0.000      0.000     -6.000      5.700        22.80       102.07
      45      0.000      0.000     -4.000      5.700        22.80       102.07
      46      0.000      0.000     -2.000      5.700        22.80       102.07
      53    -24.802      0.000    -36.688      3.150        16.49        40.80
      54     12.401     21.480    -36.688      3.150        16.49        40.80
      55     12.401    -21.480    -36.688      3.150        16.49        40.80
      56    -22.322      0.000    -40.247      1.875         9.89        14.56
      57    -19.842      0.000    -39.352      1.875         9.89        14.56
      58    -17.362      0.000    -38.456      1.875         9.89        14.56
      59    -14.882      0.000    -37.561      1.875         9.89        14.56
      60     -9.921      0.000    -35.770      1.875         9.89        14.56
      61     -7.441      0.000    -34.875      1.875         9.89        14.56
      62     -4.960      0.000    -33.979      1.875         9.89        14.56
      63     -2.480      0.000    -33.084      1.875         9.89        14.56
      64     11.161     19.332    -40.247      1.875         9.89        14.56
      65      9.921     17.184    -39.352      1.875         9.89        14.56
      66      8.681     15.036    -38.456      1.875         9.89        14.56
      67      7.441     12.888    -37.561      1.875         9.89        14.56
      68      4.960      8.592    -35.770      1.875         9.89        14.56
      69      3.720      6.444    -34.875      1.875         9.89        14.56
      70      2.480      4.296    -33.979      1.875         9.89        14.56
      71      1.240      2.148    -33.084      1.875         9.89        14.56
      72     11.161    -19.332    -40.247      1.875         9.89        14.56
      73      9.921    -17.184    -39.352      1.875         9.89        14.56
      74      8.681    -15.036    -38.456      1.875         9.89        14.56
      75      7.441    -12.888    -37.561      1.875         9.89        14.56
      76      4.960     -8.592    -35.770      1.875         9.89        14.56
      77      3.720     -6.444    -34.875      1.875         9.89        14.56
      78      2.480     -4.296    -33.979      1.875         9.89        14.56
      79      1.240     -2.148    -33.084      1.875         9.89        14.56
      80    -23.252      0.000    -36.850      2.475        14.38        27.95
      81    -21.702      0.000    -34.393      2.475        14.38        27.95
      82    -20.152      0.000    -31.936      2.475        14.38        27.95
      83    -18.602      0.000    -29.480      2.475        14.38        27.95
      84    -17.052      0.000    -27.023      2.475        14.38        27.95
      85    -15.502      0.000    -24.567      2.475        14.38        27.95
      86    -13.952      0.000    -22.110      2.475        14.38        27.95
      87    -10.879      0.000    -17.240      2.475        14.13        27.46
      88     -9.356      0.000    -14.827      2.475        14.13        27.46
      89     -7.833      0.000    -12.413      2.475        14.13        27.46
      90     11.626     20.137    -36.850      2.475        14.38        27.95
      91     10.851     18.795    -34.393      2.475        14.38        27.95
      92     10.076     17.452    -31.936      2.475        14.38        27.95
      93      9.301     16.110    -29.480      2.475        14.38        27.95
      94      8.526     14.767    -27.023      2.475        14.38        27.95
      95      7.751     13.425    -24.567      2.475        14.38        27.95
      96      6.976     12.083    -22.110      2.475        14.38        27.95
      97      5.439      9.421    -17.240      2.475        14.13        27.46
      98      4.678      8.102    -14.827      2.475        14.13        27.46
      99      3.917      6.784    -12.413      2.475        14.13        27.46
     100     11.626    -20.137    -36.850      2.475        14.38        27.95
     101     10.851    -18.795    -34.393      2.475        14.38        27.95
     102     10.076    -17.452    -31.936      2.475        14.38        27.95
     103      9.301    -16.110    -29.480      2.475        14.38        27.95
     104      8.526    -14.767    -27.023      2.475        14.38        27.95
     105      7.751    -13.425    -24.567      2.475        14.38        27.95
     106      6.976    -12.083    -22.110      2.475        14.38        27.95
     107      5.439     -9.421    -17.240      2.475        14.13        27.46
     108      4.678     -8.102    -14.827      2.475        14.13        27.46
     109      3.917     -6.784    -12.413      2.475        14.13        27.46
     110    -22.477      1.342    -42.979      1.200         6.44         6.07
     111    -20.152      2.685    -42.979      1.200         6.44         6.07
     112    -17.827      4.027    -42.979      1.200         6.44         6.07
     113    -15.502      5.370    -42.979      1.200         6.44         6.07
     114    -13.176      6.712    -42.979      1.200         6.44         6.07
     115    -10.851      8.055    -42.979      1.200         6.44         6.07
     116     -8.526      9.397    -42.979      1.200         6.44         6.07
     117     -3.875     12.082    -42.979      1.200         6.44         6.07
     118     -1.550     13.425    -42.979      1.200         6.44         6.07
     119      0.775     14.767    -42.979      1.200         6.44         6.07
     120      3.100     16.110    -42.979      1.200         6.44         6.07
     121      5.426     17.452    -42.979      1.200         6.44         6.07
     122      7.751     18.795    -42.979      1.200         6.44         6.07
     123     10.076     20.137    -42.979      1.200         6.44         6.07
     124     12.401     18.795    -42.979      1.200         6.44         6.07
     125     12.401     16.110    -42.979      1.200         6.44         6.07
     126     12.401     13.425    -42.979      1.200         6.44         6.07
     127     12.401     10.740    -42.979      1.200         6.44         6.07
     128     12.401      8.055    -42.979      1.200         6.44         6.07
     129     12.401      5.370    -42.979      1.200         6.44         6.07
     130     12.401      2.685    -42.979      1.200         6.44         6.07
     131     12.401     -2.685    -42.979      1.200         6.44         6.07
     132     12.401     -5.370    -42.979      1.200         6.44         6.07
     133     12.401     -8.055    -42.979      1.200         6.44         6.07
